player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Santiago Espinal,31.0,LAD,NL,0.2,36.0,60.0,56.0,5.0,15.0,1.0,7.0,0.0,1.0,8.0,0.276,0.375,0.651,81.0,21.0,2.0,1.0,54H/3D
Jacob Gonzalez*,24.0,CHW,AL,-0.1,19.0,60.0,53.0,5.0,10.0,1.0,5.0,0.0,5.0,16.0,0.283,0.245,0.529,50.0,13.0,0.0,0.0,3/H5
Víctor Mesa Jr.*,24.0,TBR,AL,0.1,20.0,60.0,50.0,8.0,9.0,3.0,8.0,0.0,9.0,15.0,0.305,0.36,0.665,84.0,18.0,1.0,0.0,9/HD8
Sung-Mun Song*,29.0,SDP,NL,-0.1,29.0,60.0,53.0,7.0,11.0,0.0,6.0,6.0,7.0,12.0,0.3,0.245,0.545,56.0,13.0,0.0,0.0,4/6H5
Ryan Ward*,28.0,LAD,NL,0.2,19.0,59.0,54.0,8.0,11.0,3.0,11.0,0.0,5.0,17.0,0.271,0.444,0.716,96.0,24.0,0.0,0.0,7/3DH
Luis Campusano,27.0,SDP,NL,0.7,18.0,58.0,52.0,9.0,15.0,3.0,10.0,0.0,5.0,15.0,0.362,0.596,0.958,163.0,31.0,0.0,0.0,2
Cole Carrigg#,24.0,COL,NL,0.5,14.0,58.0,48.0,9.0,13.0,3.0,11.0,1.0,8.0,12.0,0.379,0.542,0.921,142.0,26.0,0.0,1.0,8/6
Jonathan India,29.0,KCR,AL,0.2,17.0,58.0,48.0,8.0,8.0,2.0,8.0,0.0,8.0,13.0,0.31,0.313,0.623,77.0,15.0,0.0,0.0,4/H
Pavin Smith*,30.0,ARI,NL,-0.4,19.0,58.0,48.0,4.0,8.0,1.0,5.0,0.0,9.0,12.0,0.293,0.229,0.522,48.0,11.0,0.0,1.0,D/3H
Sebastián Rivero,27.0,LAA,AL,0.2,24.0,57.0,53.0,5.0,13.0,0.0,8.0,0.0,3.0,12.0,0.286,0.283,0.569,62.0,15.0,1.0,0.0,2/H
Austin Wynns,35.0,2TM,2LG,-0.6,20.0,57.0,53.0,3.0,4.0,0.0,0.0,0.0,3.0,14.0,0.125,0.075,0.2,-43.0,4.0,1.0,0.0,2
Austin Wynns,35.0,ATH,AL,-0.4,14.0,43.0,39.0,3.0,3.0,0.0,0.0,0.0,3.0,10.0,0.143,0.077,0.22,-38.0,3.0,1.0,0.0,2
Austin Wynns,35.0,ATL,NL,-0.1,6.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.071,0.071,0.143,-59.0,1.0,0.0,0.0,/2
Juan Brito#,24.0,CLE,AL,-0.4,15.0,56.0,51.0,7.0,9.0,0.0,3.0,0.0,4.0,17.0,0.25,0.255,0.505,43.0,13.0,0.0,0.0,4/H
Tyler Callihan*,26.0,PIT,NL,0.1,19.0,56.0,47.0,8.0,12.0,2.0,9.0,1.0,7.0,16.0,0.357,0.511,0.868,136.0,24.0,0.0,1.0,/95H4713
Alejandro Kirk,27.0,TOR,AL,-0.1,14.0,56.0,51.0,4.0,10.0,1.0,6.0,0.0,4.0,8.0,0.25,0.294,0.544,48.0,15.0,0.0,1.0,2/H
Zack Short,31.0,2TM,2LG,-0.3,26.0,55.0,44.0,4.0,7.0,0.0,2.0,0.0,7.0,17.0,0.278,0.205,0.482,37.0,9.0,1.0,2.0,6/H14
Zack Short,31.0,DET,AL,0.1,23.0,46.0,36.0,3.0,6.0,0.0,2.0,0.0,7.0,12.0,0.304,0.222,0.527,49.0,8.0,0.0,2.0,6/H4
Zack Short,31.0,NYM,NL,-0.4,3.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.125,0.125,0.25,-29.0,1.0,1.0,0.0,/61H
