player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Cedric Mullins*,31.0,TBR,AL,-0.1,68.0,265.0,230.0,26.0,47.0,6.0,22.0,13.0,23.0,52.0,0.29,0.309,0.598,66.0,71.0,4.0,1.0,*8/H
Nasim Nuñez#,25.0,WSN,NL,1.6,76.0,265.0,229.0,31.0,55.0,0.0,27.0,31.0,28.0,60.0,0.324,0.284,0.608,74.0,65.0,6.0,1.0,*46/HD
Nolan Schanuel*,24.0,LAA,AL,1.1,64.0,265.0,237.0,28.0,62.0,6.0,30.0,0.0,21.0,40.0,0.332,0.392,0.724,104.0,93.0,0.0,2.0,*3/H
Trent Grisham*,29.0,NYY,AL,0.9,66.0,264.0,224.0,40.0,52.0,8.0,35.0,6.0,38.0,42.0,0.341,0.406,0.747,108.0,91.0,0.0,2.0,*8/H
Juan Soto*,27.0,NYM,NL,2.3,62.0,264.0,224.0,36.0,67.0,17.0,38.0,6.0,38.0,34.0,0.399,0.567,0.966,167.0,127.0,0.0,1.0,7D
Ildemaro Vargas#,34.0,ARI,NL,1.2,70.0,264.0,245.0,38.0,64.0,7.0,44.0,1.0,14.0,24.0,0.305,0.408,0.714,96.0,100.0,1.0,1.0,34/H5D716
Sal Frelick*,26.0,MIL,NL,-0.4,73.0,262.0,228.0,28.0,53.0,3.0,29.0,5.0,23.0,25.0,0.302,0.32,0.622,73.0,73.0,1.0,3.0,*9H/D
George Springer,36.0,TOR,AL,-0.1,59.0,262.0,228.0,26.0,50.0,8.0,21.0,6.0,27.0,50.0,0.309,0.373,0.682,85.0,85.0,0.0,1.0,*D/H
Aaron Judge,34.0,NYY,AL,2.1,59.0,261.0,214.0,43.0,53.0,17.0,38.0,5.0,42.0,72.0,0.375,0.533,0.907,150.0,114.0,0.0,1.0,9/D
Jeff McNeil*,34.0,ATH,AL,-0.2,74.0,260.0,232.0,21.0,55.0,3.0,20.0,1.0,21.0,35.0,0.309,0.319,0.628,72.0,74.0,1.0,2.0,*4/H395
Jacob Young,26.0,WSN,NL,0.8,77.0,260.0,243.0,31.0,55.0,8.0,30.0,8.0,12.0,49.0,0.274,0.374,0.649,81.0,91.0,1.0,0.0,*8/HD
Adolis García,33.0,PHI,NL,-0.7,67.0,259.0,231.0,21.0,45.0,7.0,21.0,3.0,21.0,84.0,0.27,0.329,0.599,63.0,76.0,0.0,3.0,*9/H8
Luis García Jr.*,26.0,WSN,NL,1.0,75.0,259.0,247.0,34.0,65.0,13.0,49.0,2.0,11.0,41.0,0.293,0.494,0.787,117.0,122.0,0.0,1.0,*3H/D
Jose Altuve,36.0,HOU,AL,0.0,60.0,257.0,230.0,36.0,54.0,8.0,21.0,1.0,24.0,58.0,0.309,0.391,0.7,94.0,90.0,1.0,1.0,*4/D
Gavin Sheets*,30.0,SDP,NL,0.2,73.0,257.0,228.0,29.0,51.0,12.0,33.0,4.0,27.0,61.0,0.311,0.439,0.75,108.0,100.0,0.0,0.0,37D/H9
Jorge Soler,34.0,LAA,AL,0.2,61.0,256.0,223.0,30.0,49.0,11.0,37.0,0.0,25.0,81.0,0.305,0.422,0.726,103.0,94.0,0.0,4.0,D/9H
Caleb Durbin,26.0,BOS,AL,1.4,72.0,255.0,232.0,27.0,52.0,6.0,32.0,7.0,15.0,36.0,0.281,0.379,0.66,86.0,88.0,2.0,2.0,*5/H
Daulton Varsho*,29.0,TOR,AL,1.5,68.0,255.0,229.0,31.0,61.0,7.0,22.0,7.0,23.0,50.0,0.337,0.441,0.778,110.0,101.0,0.0,1.0,*8/HD
