Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
375,Taylor Trammell*,28,HOU,AL,0.4,32,90,82,11,23,5,1,2,9,1,0,6,32,.280,.337,.439,.776,115,.339,110,36,0,1,1,0,0,87/HD9,,trammta01
376,Jordan Beck,25,COL,NL,-0.4,30,88,82,7,15,5,1,1,10,2,1,5,22,.183,.227,.305,.532,40,.240,31,25,3,0,0,1,0,79/H,,beckjo01
377,Esteury Ruiz,27,MIA,NL,0.7,46,88,74,19,19,7,1,4,9,14,3,8,25,.257,.356,.541,.897,151,.404,149,40,0,4,0,1,0,97H/8D,,ruizes01
378,Justin Foscue,27,TEX,AL,0.1,35,87,78,10,20,4,0,4,10,0,0,6,21,.256,.322,.462,.783,127,.339,124,36,2,2,0,1,0,4H/D3,,foscuju01
379,Noelvi Marté,24,CIN,NL,-0.6,27,87,80,9,16,4,0,3,4,4,1,7,23,.200,.264,.363,.627,70,.290,70,29,2,0,0,0,0,9/H8,,marteno01
380,Nick Yorke,24,PIT,NL,-0.5,27,86,76,6,15,3,0,1,6,0,0,7,17,.197,.279,.276,.555,54,.257,50,21,3,2,0,1,0,5/H937D,,yorkeni01
381,Andrew McCutchen,39,TEX,AL,-0.4,37,83,73,8,14,2,0,1,5,0,0,9,22,.192,.277,.260,.537,59,.258,67,19,0,0,0,1,0,DH/79,,mccutan01
382,Donovan Walton*,32,LAA,AL,0.7,26,83,79,13,26,7,0,3,11,0,0,3,14,.329,.354,.532,.885,147,.382,146,42,1,0,1,0,0,5/DH4,,waltodo01
383,Joey Wiemer,27,WSN,NL,0.6,32,83,70,16,20,5,1,3,12,1,0,12,29,.286,.398,.514,.912,155,.392,150,36,2,1,0,0,0,98H/D1,,wiemejo01
384,Javier Báez,33,DET,AL,-0.4,24,82,78,10,20,5,0,2,6,1,1,2,16,.256,.280,.397,.678,85,.293,80,31,2,1,0,1,0,68/4,,baezja01
385,Thomas Saggese,24,STL,NL,-0.7,32,82,76,9,14,2,1,1,4,1,2,6,26,.184,.244,.276,.520,48,.224,41,21,2,0,0,0,0,7/6H54D,,saggeth01
386,Nicky Lopez*,31,2TM,2LG,0.1,28,80,74,8,23,1,0,1,6,2,1,3,11,.311,.346,.365,.711,109,.313,106,27,2,1,2,0,0,4/6H579,,lopezni01
386,Nicky Lopez*,31,CHC,NL,-0.1,4,5,5,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-125,0,0,0,0,0,0,/5H4,,lopezni01
386,Nicky Lopez*,31,TEX,AL,0.2,24,75,69,7,23,1,0,1,6,2,1,3,9,.333,.370,.391,.761,124,.334,121,27,2,1,2,0,0,4/6H79,,lopezni01
387,Braden Shewmake*,28,HOU,AL,0.4,28,79,74,8,18,3,0,3,8,0,0,2,13,.243,.260,.405,.665,82,.287,74,30,1,0,2,1,0,56/4H,,shewmbr01
388,Jose Siri,30,LAA,AL,0.9,32,79,69,17,20,3,0,4,16,1,1,6,19,.290,.351,.507,.858,139,.363,135,35,2,1,2,1,0,78/H9,,sirijo01
389,Jasson Domínguez#,23,NYY,AL,0.4,20,78,74,7,17,6,0,3,8,4,0,2,17,.230,.260,.432,.692,89,.324,92,32,0,1,0,0,0,9/D7,,dominja01
390,Rafael Marchán#,27,PHI,NL,-0.4,26,78,75,4,8,0,0,2,6,0,0,1,14,.107,.141,.187,.328,-12,.171,-14,14,2,2,0,0,0,2/H,,marchra01
391,Jake Rogers,31,DET,AL,-0.1,24,78,67,6,10,2,1,1,6,1,0,7,25,.149,.234,.254,.487,35,.226,27,17,0,1,1,2,0,2/1H,,rogerja03
392,Everson Pereira,25,CHW,AL,-0.1,21,77,69,7,16,4,0,3,7,1,0,5,23,.232,.299,.420,.719,99,.317,95,29,2,2,0,1,0,9/D8H7,,pereiev01
393,Sterlin Thompson*,25,COL,NL,-0.3,27,77,69,7,16,4,0,2,10,0,0,5,21,.232,.312,.377,.688,82,.305,77,26,3,3,0,0,0,7D/9H,,thompst01
394,Tim Tawa,27,ARI,NL,-0.6,33,76,64,6,11,3,0,1,8,0,2,9,18,.172,.270,.266,.536,50,.245,52,17,1,0,2,1,0,7/H358D4,,tawati01
